spk_id,gender,household_id,hh_size,OA,LSOA,MSOA
spk-f-46281,female,E00069547_HH000016,1,E00069547,E01013787,E02002867
spk-f-45473,female,E00069547_HH000010,1,E00069547,E01013787,E02002867
spk-m-48000,male,E00069547_HH000105,4,E00069547,E01013787,E02002867
spk-m-45731,male,E00069547_HH000058,2,E00069547,E01013787,E02002867
spk-m-44992,male,E00069547_HH000051,2,E00069547,E01013787,E02002867
spk-m-46047,male,E00069547_HH000065,2,E00069547,E01013787,E02002867
spk-m-47769,male,E00069547_HH000101,6,E00069547,E01013787,E02002867
spk-m-47422,male,E00069547_HH000098,2,E00069547,E01013787,E02002867
spk-m-47112,male,E00069547_HH000091,2,E00069547,E01013787,E02002867
spk-m-47799,male,E00069547_HH000102,6,E00069547,E01013787,E02002867
spk-m-46083,male,E00069547_HH000067,2,E00069547,E01013787,E02002867
spk-m-47449,male,E00069547_HH000099,7,E00069547,E01013787,E02002867
spk-m-44671,male,E00069547_HH000049,2,E00069547,E01013787,E02002867
spk-m-47673,male,E00069547_HH000100,6,E00069547,E01013787,E02002867
spk-m-45290,male,E00069547_HH000053,2,E00069547,E01013787,E02002867
spk-m-45948,male,E00069547_HH000063,2,E00069547,E01013787,E02002867
spk-f-46381,female,E00069547_HH000019,1,E00069547,E01013787,E02002867
spk-m-47240,male,E00069547_HH000094,2,E00069547,E01013787,E02002867
spk-m-46934,male,E00069547_HH000085,2,E00069547,E01013787,E02002867
spk-m-47452,male,E00069547_HH000099,7,E00069547,E01013787,E02002867
spk-m-21688,male,E00069547_HH000047,2,E00069547,E01013787,E02002867
spk-m-47111,male,E00069547_HH000090,2,E00069547,E01013787,E02002867
spk-m-46056,male,E00069547_HH000067,2,E00069547,E01013787,E02002867
spk-f-47109,female,E00069547_HH000031,1,E00069547,E01013787,E02002867
spk-f-46808,female,E00069547_HH000026,1,E00069547,E01013787,E02002867
spk-f-46289,female,E00069547_HH000017,1,E00069547,E01013787,E02002867
spk-m-47653,male,E00069547_HH000100,6,E00069547,E01013787,E02002867
spk-m-47834,male,E00069547_HH000102,6,E00069547,E01013787,E02002867
spk-m-47896,male,E00069547_HH000103,5,E00069547,E01013787,E02002867
spk-m-47932,male,E00069547_HH000104,5,E00069547,E01013787,E02002867
spk-m-44926,male,E00069547_HH000050,2,E00069547,E01013787,E02002867
spk-m-46605,male,E00069547_HH000078,2,E00069547,E01013787,E02002867
spk-m-47490,male,E00069547_HH000099,7,E00069547,E01013787,E02002867
spk-m-47300,male,E00069547_HH000094,2,E00069547,E01013787,E02002867
spk-m-46270,male,E00069547_HH000073,2,E00069547,E01013787,E02002867
spk-m-45000,male,E00069547_HH000051,2,E00069547,E01013787,E02002867
spk-m-46253,male,E00069547_HH000073,2,E00069547,E01013787,E02002867
spk-f-48540,female,E00069547_HH000044,2,E00069547,E01013787,E02002867
spk-f-48043,female,E00069547_HH000039,2,E00069547,E01013787,E02002867
spk-m-47225,male,E00069547_HH000093,2,E00069547,E01013787,E02002867
spk-m-46440,male,E00069547_HH000076,2,E00069547,E01013787,E02002867
spk-m-44890,male,E00069547_HH000050,2,E00069547,E01013787,E02002867
spk-m-47037,male,E00069547_HH000089,2,E00069547,E01013787,E02002867
spk-m-45750,male,E00069547_HH000059,2,E00069547,E01013787,E02002867
spk-m-46049,male,E00069547_HH000066,2,E00069547,E01013787,E02002867
spk-f-47604,female,E00069547_HH000036,2,E00069547,E01013787,E02002867
spk-f-46770,female,E00069547_HH000025,1,E00069547,E01013787,E02002867
spk-m-46968,male,E00069547_HH000087,2,E00069547,E01013787,E02002867
spk-m-46308,male,E00069547_HH000074,2,E00069547,E01013787,E02002867
spk-f-47040,female,E00069547_HH000030,1,E00069547,E01013787,E02002867
spk-f-46435,female,E00069547_HH000020,1,E00069547,E01013787,E02002867
spk-m-48046,male,E00069547_HH000106,3,E00069547,E01013787,E02002867
spk-m-48026,male,E00069547_HH000106,3,E00069547,E01013787,E02002867
spk-m-47592,male,E00069547_HH000099,7,E00069547,E01013787,E02002867
spk-m-45995,male,E00069547_HH000064,2,E00069547,E01013787,E02002867
spk-f-44578,female,E00069547_HH000006,1,E00069547,E01013787,E02002867
spk-m-47082,male,E00069547_HH000090,2,E00069547,E01013787,E02002867
spk-f-48548,female,E00069547_HH000045,2,E00069547,E01013787,E02002867
spk-m-46698,male,E00069547_HH000079,2,E00069547,E01013787,E02002867
spk-m-45803,male,E00069547_HH000060,2,E00069547,E01013787,E02002867
spk-m-47081,male,E00069547_HH000089,2,E00069547,E01013787,E02002867
spk-m-46116,male,E00069547_HH000069,2,E00069547,E01013787,E02002867
spk-m-47742,male,E00069547_HH000101,6,E00069547,E01013787,E02002867
spk-m-45388,male,E00069547_HH000054,2,E00069547,E01013787,E02002867
spk-m-47661,male,E00069547_HH000100,6,E00069547,E01013787,E02002867
spk-f-47189,female,E00069547_HH000032,1,E00069547,E01013787,E02002867
spk-f-45832,female,E00069547_HH000013,1,E00069547,E01013787,E02002867
spk-f-47357,female,E00069547_HH000034,2,E00069547,E01013787,E02002867
spk-m-46706,male,E00069547_HH000080,2,E00069547,E01013787,E02002867
spk-f-47846,female,E00069547_HH000038,2,E00069547,E01013787,E02002867
spk-m-45581,male,E00069547_HH000056,2,E00069547,E01013787,E02002867
spk-m-46010,male,E00069547_HH000065,2,E00069547,E01013787,E02002867
spk-m-46989,male,E00069547_HH000087,2,E00069547,E01013787,E02002867
spk-f-48329,female,E00069547_HH000042,2,E00069547,E01013787,E02002867
spk-m-46359,male,E00069547_HH000074,2,E00069547,E01013787,E02002867
spk-m-47468,male,E00069547_HH000099,7,E00069547,E01013787,E02002867
spk-m-45419,male,E00069547_HH000055,2,E00069547,E01013787,E02002867
spk-f-47830,female,E00069547_HH000037,2,E00069547,E01013787,E02002867
spk-m-46705,male,E00069547_HH000080,2,E00069547,E01013787,E02002867
spk-m-45551,male,E00069547_HH000056,2,E00069547,E01013787,E02002867
spk-m-47937,male,E00069547_HH000104,5,E00069547,E01013787,E02002867
spk-f-46827,female,E00069547_HH000027,1,E00069547,E01013787,E02002867
spk-m-46950,male,E00069547_HH000086,2,E00069547,E01013787,E02002867
spk-m-46213,male,E00069547_HH000071,2,E00069547,E01013787,E02002867
spk-m-46471,male,E00069547_HH000076,2,E00069547,E01013787,E02002867
spk-f-43752,female,E00069547_HH000003,1,E00069547,E01013787,E02002867
spk-m-45550,male,E00069547_HH000055,2,E00069547,E01013787,E02002867
spk-f-48139,female,E00069547_HH000040,2,E00069547,E01013787,E02002867
spk-m-46689,male,E00069547_HH000079,2,E00069547,E01013787,E02002867
spk-m-46843,male,E00069547_HH000083,2,E00069547,E01013787,E02002867
spk-m-45866,male,E00069547_HH000062,2,E00069547,E01013787,E02002867
spk-m-45776,male,E00069547_HH000059,2,E00069547,E01013787,E02002867
spk-m-46962,male,E00069547_HH000086,2,E00069547,E01013787,E02002867
spk-f-47580,female,E00069547_HH000035,2,E00069547,E01013787,E02002867
spk-m-47924,male,E00069547_HH000103,5,E00069547,E01013787,E02002867
spk-m-44454,male,E00069547_HH000047,2,E00069547,E01013787,E02002867
spk-f-46642,female,E00069547_HH000023,1,E00069547,E01013787,E02002867
spk-m-46927,male,E00069547_HH000085,2,E00069547,E01013787,E02002867
spk-m-46215,male,E00069547_HH000071,2,E00069547,E01013787,E02002867
